Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
MK,Indicateurs macro,4,Afghanistan,6109,Valeur en devise locale,22008,Produit Intérieur Brut,2017,2017,million LCU,1285460.326,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6110,Valeur US $,22008,Produit Intérieur Brut,2017,2017,Millions d’USD,18896.35202,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6119,Valeur US $ par habitant,22008,Produit Intérieur Brut,2017,2017,US$,530.149831,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6183,"Valeur en devise locale, aux prix de 2015",22008,Produit Intérieur Brut,2017,2017,million LCU,1192655.49,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6185,"Valeur US $ par habitant, aux prix du 2015",22008,Produit Intérieur Brut,2017,2017,US$,547.249843,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6184,"Valeur US $, aux prix du 2015",22008,Produit Intérieur Brut,2017,2017,Millions d’USD,19505.85491,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6155,Croissance annuelle en devise locale,22008,Produit Intérieur Brut,2017,2017,%,5.114284,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6181,Croissance annuelle aux prix de 2015,22008,Produit Intérieur Brut,2017,2017,%,2.647003,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6129,Croissance annuelle US$,22008,Produit Intérieur Brut,2017,2017,%,4.86579,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,61290,Croissance annuelle US$ par habitant,22008,Produit Intérieur Brut,2017,2017,%,1.902494,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6182,"Croissance annuelle US $, aux prix de 2015",22008,Produit Intérieur Brut,2017,2017,%,2.647003,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,61820,"Croissance annuelle US $ par habitant, aux prix de 2015",22008,Produit Intérieur Brut,2017,2017,%,-0.253594,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6109,Valeur en devise locale,22015,Formation brute de capital fixe,2017,2017,million LCU,173632.5554,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6110,Valeur US $,22015,Formation brute de capital fixe,2017,2017,Millions d’USD,2552.410075,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6183,"Valeur en devise locale, aux prix de 2015",22015,Formation brute de capital fixe,2017,2017,million LCU,168531.6827,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6184,"Valeur US $, aux prix du 2015",22015,Formation brute de capital fixe,2017,2017,Millions d’USD,2756.332051,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6103,Part du PIB US $,22015,Formation brute de capital fixe,2017,2017,%,13.507422,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6187,"Part du PIB US$, aux prix de 2015",22015,Formation brute de capital fixe,2017,2017,%,14.130793,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6157,Part du PIB en devise locale,22015,Formation brute de capital fixe,2017,2017,%,13.507422,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6186,"Part du PIB en devise locale, aux prix de 2015",22015,Formation brute de capital fixe,2017,2017,%,14.130793,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6155,Croissance annuelle en devise locale,22015,Formation brute de capital fixe,2017,2017,%,12.860168,X,Ciffre de sources internationales,
MK,Indicateurs macro,4,Afghanistan,6181,Croissance annuelle aux prix de 2015,22015,Formation brute de capital fixe,2017,2017,%,8.197521,X,Ciffre de sources internationales,
